13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
